аист	stork	[ stɔːk ]
акула	shark	[ ʃɑːk ]
антилопа	antelope	[ ˈæntɪləʊp ]
бабочка	butterfly	[ ˈbʌtəflaɪ ]
баран	ram	[ ræm ]
барсук	badger	[ ˈbædʒə ]
белка	squirrel	[ ˈskwɪrəl ]
белый медведь	polar bear	[ ˈpəʊlə beə ]
бобр	beaver	[ ˈbiːvə ]
божья коровка	ladybird	[ ˈleɪdɪbɜːd ]
бык	bull	[ bʊl ]
вол, бык	ox	[ ɒks ]
волк	wolf	[ wʊlf ]
волнистый попугайчик	budgie	[ ˈbʌdʒi ]
воробей	sparrow	[ ˈspærəʊ ]
ворон	raven	[ ˈreɪvn̩ ]
ворона	crow	[ krəʊ ]
гадюка	viper	[ ˈvaɪpə ]
голубь	pigeon, dove	[ ˈpɪdʒən ] [ dʌv ]
горилла	gorilla	[ ɡəˈrɪlə ]
горлица	turtledove	[ ˈtɜːtldʌv ]
гриф	vulture	[ ˈvʌltʃə ]
гусеница	caterpillar	[ ˈkætəpɪlə ]
гусь	goose	[ ɡuːs ]
дикий кабан	wild boar	[ waɪld bɔː ]
дрозд	blackbird	[ ˈblækbɜːd ]
дятел	woodpecker	[ ˈwʊdpekə ]
ёж	hedgehog	[ ˈhedʒhɒɡ ]
жаворонок	lark	[ lɑːk ]
жираф	giraffe	[ dʒɪˈrɑːf ]
жук	beetle	[ ˈbiːtl̩ ]
журавль	crane	[ kreɪn ]
заяц	hare	[ heə ]
зебра	zebra	[ ˈzebrə ]
змея	snake	[ sneɪk ]
индюк	turkey	[ ˈtɜːki ]
канарейка	canary	[ kəˈneəri ]
канюк	buzzard	[ ˈbʌzəd ]
кенгуру	kangaroo	[ ˌkæŋɡəˈruː ]
клоп	bug	[ bʌɡ ]
козел	goat	[ ɡəʊt ]
козленок	kid	[ kɪd ]
комар, москит	gnat	[ næt ]
корова	cow	[ kaʊ ]
кот	cat	[ kæt ]
котенок	kitten	[ ˈkɪtn̩ ]
крокодил	crocodile	[ ˈkrɒkədaɪl ]
кролик	rabbit	[ ˈræbɪt ]
крыса	rat	[ ræt ]
кузнечик	grasshopper	[ ˈɡrɑːshɒpə ]
кукушка	cuckoo	[ ˈkʊkuː ]
курица	hen	[ hen ]
куропатка	partridge	[ ˈpɑːtrɪdʒ ]
ласточка	swallow	[ ˈswɒləʊ ]
лебедь	swan	[ swɒn ]
лев	lion	[ ˈlaɪən ]
летучая мышь	bat	[ bæt ]
лисица	fox	[ fɒks ]
лось	elk	[ elk ]
лошадь	horse	[ hɔːs ]
лягушка	frog	[ frɒɡ ]
медведь	bear	[ beə ]
моль	moth	[ mɒθ ]
морская звезда	starfish	[ ˈstɑːfɪʃ ]
морская свинка	guinea pig	[ ˈɡɪni pɪɡ ]
муравей	ant	[ ænt ]
муха	fly	[ flaɪ ]
мышь	mouse	[ maʊs ]
носорог	rhino, rhinoceros	[ ˈraɪnəʊ ] [ raɪˈnɒsərəs ]
обезьяна	monkey	[ ˈmʌŋki ]
овца	sheep	[ ʃiːp ]
олень	deer	[ dɪə ]
орел	eagle	[ ˈiːɡl̩ ]
оса	wasp	[ wɒsp ]
осел	donkey	[ ˈdɒŋki ]
павлин	peacock	[ ˈpiːkɒk ]
паук	spider	[ ˈspaɪdə ]
петух	cock, rooster	[ ˈkɒk ] [ ˈruːstə ]
пингвин	penguin	[ ˈpeŋɡwɪn ]
пиявка	leech	[ liːtʃ ]
пони	pony	[ ˈpəʊni ]
попугай	parrot	[ ˈpærət ]
поросенок	pig	[ pɪɡ ]
пчела	bee	[ biː ]
рысь	lynx	[ lɪŋks ]
синица	titmouse	[ ˈtɪtmaʊs ]
скорпион	scorpion	[ ˈskɔːpɪən ]
слон	elephant	[ ˈelɪfənt ]
собака	dog	[ dɒɡ ]
сова	owl	[ aʊl ]
сокол	falcon	[ ˈfɔːlkən ]
соловей	nightingale	[ ˈnaɪtɪŋɡeɪl ]
сорока	magpie	[ ˈmæɡpaɪ ]
страус	ostrich	[ ˈɒstrɪtʃ ]
таракан	cockroach	[ ˈkɒkrəʊtʃ ]
теленок	calf	[ kɑːf ]
тетерев	heath-cock	[ ˈhiːθkɒk ]
тигр	tiger	[ ˈtaɪɡə ]
тюлень	seal	[ siːl ]
улитка	snail	[ sneɪl ]
утенок	duckling	[ ˈdʌkl̩ɪŋ ]
утка	duck	[ dʌk ]
фазан	pheasant	[ ˈfeznt ]
фламинго	flamingo	[ fləˈmɪŋɡəʊ ]
хорёк	ferret	[ ˈferɪt ]
цапля	heron	[ ˈherən ]
цыпленок	chicken	[ ˈtʃɪkɪn ]
чайка	seagull	[ ˈsiːɡʌl ]
червь	worm	[ wɜːm ]
черепаха	tortoise	[ ˈtɔːtəs ]
щенок	puppy	[ ˈpʌpi ]
ягненок	lamb	[ læm ]
ястреб	hawk	[ hɔːk ]
ящерица	lizard	[ ˈlɪzəd ]
